machine_id,temperature,vibration,pressure,speed,torque,tool_wear,failure
M0001,55.5,1.69,99.79,1523.65,43.8,49.61,0
M0002,63.44,1.07,99.75,1500.54,35.34,14.94,0
M0003,65.9,1.55,102.71,1530.94,35.08,45.29,0
M0004,61.81,1.39,105.66,1483.66,36.21,9.84,0
M0005,92.07,7.32,116.76,1398.26,64.6,78.25,1
M0006,71.59,2.55,104.89,1507.74,44.16,7.29,0
M0007,60.79,1.2,99.86,1460.1,38.61,36.78,0
M0008,62.4,1.52,100.14,1543.67,43.42,35.46,0
M0009,69.58,1.41,101.04,1548.95,43.32,32.85,0
M0010,71.86,2.94,99.83,1453.21,39.1,18.39,0
M0011,73.86,3.19,100.52,1515.54,40.14,50.73,0
M0012,60.3,1.62,102.49,1476.27,42.6,49.89,0
M0013,59.39,3.49,102.08,1459.09,35.61,10.48,0
M0014,70.84,2.06,98.51,1488.16,47.95,31.46,0
M0015,97.22,4.54,116.65,1411.35,58.05,74.34,1
M0016,57.23,2.09,101.63,1545.38,46.39,18.17,0
M0017,58.57,3.28,104.96,1479.84,43.31,35.45,0
M0018,70.25,2.35,104.23,1503.04,35.01,21.21,0
M0019,73.58,3.2,104.65,1480.75,35.75,48.9,0
M0020,81.71,6.2,108.83,1418.45,61.49,69.49,1
M0021,66.0,1.66,104.98,1492.31,37.75,31.96,0
M0022,59.02,1.78,105.96,1514.99,40.7,30.88,0
M0023,59.49,1.85,102.71,1473.01,37.86,8.55,0
M0024,59.58,3.26,104.88,1457.09,38.09,38.45,0
M0025,57.65,3.34,102.57,1497.27,45.2,45.37,0
M0026,56.94,2.08,101.39,1496.7,44.48,38.67,0
M0027,81.97,5.91,112.07,1427.55,53.73,71.66,1
M0028,63.44,1.7,100.0,1542.33,40.76,48.07,0
M0029,56.01,3.5,104.69,1546.9,47.04,47.43,0
M0030,64.71,1.53,101.21,1455.86,39.93,54.27,0
M0031,70.68,2.14,101.38,1545.73,47.94,32.79,0
M0032,58.1,1.74,105.75,1507.92,42.05,42.4,0
M0033,66.68,2.26,104.82,1465.74,47.49,9.01,0
M0034,66.9,2.69,99.88,1461.99,46.57,17.31,0
M0035,67.39,2.05,102.67,1502.28,47.15,15.21,0
M0036,59.77,1.99,103.37,1480.0,39.11,42.59,0
M0037,64.17,3.5,105.97,1457.33,37.77,18.26,0
M0038,97.62,7.58,112.43,1364.2,62.51,89.62,1
M0039,74.74,2.63,98.06,1531.71,38.89,38.17,0
M0040,82.69,4.9,109.28,1399.79,54.09,86.17,1
M0041,59.07,2.59,100.11,1498.85,46.77,47.31,0
M0042,63.47,1.69,98.03,1527.11,43.28,18.1,0
M0043,66.03,2.07,98.08,1457.52,46.48,50.2,0
M0044,71.69,2.46,99.18,1462.74,39.01,49.95,0
